STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,CORE_COURSE_NAME_5_F,CORE_COURSE_GRADE_5_F,CORE_COURSE_NAME_6_F,CORE_COURSE_GRADE_6_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,CORE_COURSE_NAME_4_S,CORE_COURSE_GRADE_4_S,CORE_COURSE_NAME_5_S,CORE_COURSE_GRADE_5_S,CORE_COURSE_NAME_6_S,CORE_COURSE_GRADE_6_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_CD,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_CD,MOTHER_HI_EDU_DESC,DEGREE_GROUP_CD,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
7884573,18,F,BGD 1,Y,N,Undeclared,N,,1050,1070,200708,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ECON 2105,A,ENGL 1101,A,MATH 1111,A,200802,ECON 2106,A,ENGL 1102,A,HIST 1112,A,MATH 1125,A,,,,,Off Campus,0,69,4,SCHOOL 11,1,Middle School/Junior High,2,High School,B,Bachelors,16,16,16,16, -   ," 11,89,920 "," 51,63,240 "," -3,26,880 "
7915174,18,F,BGD 6,Y,N,Biology,N,,1250,1260,200808,ARTH 1100,A,ENGL 1102,A,MATH 1132,A,POLS 1101,A,,,,,200902,SPAN 1001,A,STAT 1127,A,,,,,,,,,Off Campus,1,69,3.93,SCHOOL 2,,No Information,,No Information,B,Bachelors,17,17,13,13, -   , -   , -   , -   
7793763,17,M,BGD 1,Y,N,Psychology,N,,1230,1220,200808,ARTH 1100,A,ENGL 1101,A,POLS 2401,A,,,,,,,200902,ENGL 1102,A,HIST 2112,A,MATH 1111,A,POLS 1101,A,,,,,Off Campus,1,0,4,SCHOOL 130,3,College/Beyond,2,High School,B,Bachelors,15,15,16,16, -   ," 12,55,740 "," 13,44,360 "," -3,47,580 "
7856147,18,F,BGD 1,Y,N,Theatre Arts,N,28,1220,1260,201008,BIOL 1125,A,COMM 1110,A,,,,,,,,,201102,MATH 1101,A,THEA 1100,A,,,,,,,,,On Campus,1,69,3.96,SCHOOL 28,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,18,18, -   , -   , -   , -   
7963414,18,F,BGD 1,Y,N,Theatre Arts,N,,1220,1220,201008,BIOL 1125,A,COMM 1110,A,MATH 1113,A,,,,,,,201102,ARTH 1100,A,HIST 2112,A,POLS 1101H,A,,,,,,,On Campus,1,150,3.35,SCHOOL 19,2,High School,3,College/Beyond,B,Bachelors,18,18,15,15, -   , -   , -   , -   
7824708,18,F,BGD 1,Y,N,Undeclared,N,23,,1070,201008,BIOL 1125,A,ECON 2105,A,ENGL 1101,A,HIST 1111,A,,,,,201102,BIOL 1215K,A,ENGL 1102,A,HIST 2111,A,SPAN 1001,A,,,,,Off Campus,1,69,,SCHOOL 98,2,High School,3,College/Beyond,B,Bachelors,12,12,17,13, -   , -   , -   , -   
8004193,17,M,BGD 1,N,N,Biology,N,,1040,1030,200908,BIOL 1215K,A,ITDS 2735,A,STAT 1127,A,POLS 1101,A,,,,,201002,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,MATH 1113,A,,,Off Campus,0,661,3.5,SCHOOL 14,3,College/Beyond,2,High School,B,Bachelors,14,14,14,14," 10,83,000 "," 13,24,500 "," 2,41,500 "," 4,76,580 "
7847769,18,M,BGD 6,Y,N,Biology,N,,1110,1110,201008,BIOL 1215K,A,COMM 1110,A,ENGL 1101,A,HIST 2111,A,,,,,201102,BIOL 1225K,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1102,A,MATH 1111,A,PSYC 1101,A,On Campus,1,150,2.4,SCHOOL 121,3,College/Beyond,3,College/Beyond,B,Bachelors,17,13,17,17, -   , -   , -   , -   
7955834,18,F,BGD 1,N,N,Nursing,N,21,1050,990,200508,CHEM 1151,A,CHEM 1151L,A,MATH 1111,A,,,,,,,200602,HIST 2112,A,MUSC 1100,A,,,,,,,,,Off Campus,1,0,3.71,SCHOOL 15,2,High School,2,High School,B,Bachelors,12,12,13,13," 5,67,000 "," 8,35,680 "," 2,68,680 "," 4,09,500 "
7835444,18,F,BGD 3,Y,N,Nursing,N,19,930,910,200608,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1101,A,,,,,200702,ENGL 1102,A,PSYC 1101,A,,,,,,,,,On Campus,1,138,3.72,SCHOOL 283,3,College/Beyond,3,College/Beyond,B,Bachelors,12,12,13,13, -   ," 11,76,420 "," 18,75,240 "," -2,99,160 "
7879984,18,F,BGD 1,Y,N,Undeclared,N,,1310,1300,200608,CHEM 1151,A,CHEM 1151L,A,ECON 2105,A,LEAD 1705,A,,,,,200702,COMM 1110H,A,ENGL 1102,A,MUSC 1100,A,,,,,,,On Campus,1,283,3.73,SCHOOL 304,2,High School,3,College/Beyond,B,Bachelors,15,15,13,13, -   , -   , -   , -   
8033729,18,F,BGD 1,Y,N,Nursing,N,,1200,1190,200708,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1111,A,,,,,200802,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,HIST 2112,A,,,,,Off Campus,1,69,3.5,SCHOOL 2,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,16,16, -   ," 11,89,920 "," 53,28,600 "," -3,26,880 "
8007842,18,F,BGD 1,Y,N,Pre-Nursing,N,,580,590,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1101,A,,,,,200902,CPSC 1105,A,COMM 1110,A,ENGL 1102,A,ITDS 2749,A,,,,,Off Campus,0,69,3.12,SCHOOL 130,2,High School,2,High School,B,Bachelors,15,15,15,15, -   , -   , -   , -   
7840904,18,F,BGD 1,Y,N,Pre-Nursing,N,,1300,1300,200808,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,HIST 2112,A,MATH 1101,A,LEAD 1705,A,200902,ARTH 1100,A,ENGL 1102,A,PSYC 1101,A,POLS 1101,A,,,,,Off Campus,1,69,4,SCHOOL 130,3,College/Beyond,2,High School,B,Bachelors,15,15,17,17, -   ," 4,03,680 ", -   ," -5,29,620 "
7884297,18,F,BGD 3,Y,N,Nursing,N,,1110,1110,200808,CHEM 1151,A,CHEM 1151L,A,ENGL 1101,A,MATH 1111,A,,,,,200902,ARTH 1100,A,COMM 1110,A,ENGL 1102,A,HIST 2112,A,ITDS 2749,A,,,On Campus,1,138,3.73,SCHOOL 61,3,College/Beyond,2,High School,B,Bachelors,13,13,18,18, -   , -   , -   , -   
8035107,18,F,BGD 1,Y,N,Chemistry,N,,610,590,200508,CHEM 1211,A,CHEM 1211L,A,FREN 1001,A,MATH 1113,A,,,,,200602,ENGL 1102,A,FREN 1002,A,,,,,,,,,Off Campus,1,69,4,SCHOOL 2,2,High School,3,College/Beyond,B,Bachelors,13,13,15,15, -   ," 11,51,640 "," 14,74,560 "," -4,38,180 "
7988952,18,F,BGD 1,Y,N,Pre-Engineering/RETP,N,,1120,1110,200608,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,MATH 1113,A,,,,,200702,ENGL 1102,A,MATH 1131,A,POLS 1101,A,,,,,,,On Campus,1,0,3.57,SCHOOL 229,,No Information,2,High School,B,Bachelors,16,16,16,16," 8,61,720 "," 11,76,420 "," 3,14,700 "," 4,05,060 "
7877120,18,F,BGD 1,N,N,Early Childhood Education,N,27,,1220,200608,CHEM 1211,A,CHEM 1211L,A,HIST 2112,A,POLS 1101,A,,,,,200702,ARTH 1100,A,COMM 1110H,A,ENVS 1105,A,POLS 2401,A,,,,,Off Campus,1,69,4,SCHOOL 148,,No Information,,No Information,B,Bachelors,13,13,16,16, -   , -   , -   , -   
7889681,18,F,BGD 1,Y,N,Biology,N,,1310,1300,200608,CHEM 1211,A,CHEM 1211L,A,MATH 1113,A,THEA 1100,A,POLS 1101,A,,,200702,COMM 1110,A,MATH 1131,A,,,,,,,,,On Campus,1,90,3.81,SCHOOL 298,,No Information,,No Information,B,Bachelors,13,13,15,15, -   , -   , -   , -   
7906085,18,F,BGD 1,Y,N,Pre-Engineering/RETP,N,,650,640,200708,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,MATH 1113,A,MUSC 1100,A,,,200802,HIST 2111,A,MATH 1131,A,,,,,,,,,On Campus,1,150,3.9,SCHOOL 175,3,College/Beyond,3,College/Beyond,B,Bachelors,17,17,15,15, -   , -   , -   , -   
7960831,18,F,BGD 3,Y,N,Biology,N,,,,200808,CHEM 1211,A,CHEM 1211L,A,HIST 1111,A,MUSC 1100,A,POLS 1101,A,,,200902,COMM 1110,A,ENGL 1102,A,,,,,,,,,Off Campus,1,69,4,SCHOOL 26,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,14,14, -   , -   , -   , -   
7979908,17,F,BGD 3,Y,N,Pre-Engineering/RETP,N,,1110,1110,200808,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,HIST 2111,A,MATH 1111,A,LEAD 1705,A,200902,ARTH 1100,A,ENGL 1102,A,MATH 1113,A,,,,,,,Off Campus,1,0,4,SCHOOL 5,3,College/Beyond,2,High School,B,Bachelors,15,15,13,13," 8,49,660 "," 12,55,740 "," 4,06,080 "," 5,02,080 "
7792083,18,F,BGD 3,Y,N,Biology,N,,1060,1070,200908,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,MUSC 1100,A,STAT 1127,A,,,201002,BIOL 1215K,A,MATH 1131,A,,,,,,,,,On Campus,1,150,4,SCHOOL 121,2,High School,3,College/Beyond,B,Bachelors,16,16,16,16, -   ," 14,10,180 "," 14,39,460 "," -9,21,300 "
7872470,18,F,BGD 1,Y,N,Biology,N,,1220,1220,201008,CHEM 1211,A,CHEM 1211L,A,MATH 1111,A,,,,,,,201102,BIOL 1215K,A,ENGL 1102,A,ITDS 1145,A,,,,,,,Off Campus,1,69,3.92,SCHOOL 11,2,High School,2,High School,B,Bachelors,14,14,14,14, -   , -   , -   , -   
7912174,18,F,BGD 3,Y,N,Music Performance,N,,550,530,200508,COMM 1110,A,ENGL 1101,A,FREN 1001,A,,,,,,,200602,ENGL 1102,A,FREN 2001,A,,,,,,,,,Off Campus,1,188,3.43,SCHOOL 88,3,College/Beyond,3,College/Beyond,B,Bachelors,14,14,15,15, -   ," 11,46,420 "," 12,54,840 "," -4,08,180 "
7799972,18,F,BGD 1,Y,N,Undeclared,N,,620,640,200508,COMM 1110,A,ENGL 1101,A,HIST 2111,A,LEAD 1705,A,,,,,200602,ENGL 1102,A,MATH 1111,A,MUSC 1100,A,,,,,,,On Campus,0,138,3.6,SCHOOL 131,,No Information,,No Information,B,Bachelors,18,18,14,14, -   , -   , -   , -   
7980894,17,F,BGD 1,Y,N,Undeclared,N,,600,590,200508,COMM 1110,A,MATH 1111,A,POLS 1101H,A,,,,,,,200602,ARTH 1100,A,SPAN 1001,A,,,,,,,,,Off Campus,1,0,4,SCHOOL 130,3,College/Beyond,2,High School,B,Bachelors,14,14,17,14, -   , -   , -   , -   
7774359,19,M,BGD 1,Y,N,Music Performance,N,,600,590,200508,COMM 1110,A,ENGL 1101,A,LEAD 1705,A,MUSC 1100,A,,,,,200602,ENGL 1102,A,POLS 1101,A,,,,,,,,,Off Campus,1,90,3.96,SCHOOL 33,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,17,17, -   , -   , -   , -   
7924473,18,M,BGD 1,Y,N,Music Performance,N,,1220,1220,200508,COMM 1110,A,ENGL 1101,A,MUSC 1100,A,,,,,,,200602,ENGL 1102,A,POLS 1101,A,,,,,,,,,Off Campus,1,150,2.97,SCHOOL 128,3,College/Beyond,2,High School,B,Bachelors,15,15,16,16, -   , -   , -   , -   
7979978,18,F,BGD 1,Y,N,Art,N,,,,200508,COMM 1110,A,ENGL 1101,A,PSYC 1101,A,POLS 1101,A,,,,,200602,ITDS 2726,A,ITDS 2727,A,,,,,,,,,Off Campus,1,69,3.58,SCHOOL 8,,No Information,,No Information,B,Bachelors,15,15,7,7, -   , -   , -   , -   
7888437,18,F,BGD 1,N,N,Music Performance,N,28,,1260,200508,COMM 1110,A,FREN 1002,A,POLS 1101H,A,,,,,,,200602,ENGL 1102,A,FREN 2001,A,,,,,,,,,Off Campus,1,614,3.9,SCHOOL 223,,No Information,,No Information,B,Bachelors,17,17,19,19, -   ," 2,24,640 ", -   ," -6,000 "
7817369,18,F,BGD 1,Y,N,Early Childhood Education,N,,620,640,200608,COMM 1110,A,ENGL 1101,A,MATH 1101,A,THEA 1100,A,POLS 1101,A,,,200702,ENGL 1102,A,ENVS 1105,A,ITDS 2735,A,,,,,,,Off Campus,1,69,3.79,SCHOOL 2,,No Information,,No Information,B,Bachelors,16,16,15,15, -   , -   , -   , -   
7807175,18,F,BGD 1,Y,N,Chemistry,N,,1020,1030,200608,COMM 1110,A,ENGL 1102,A,LEAD 1705,A,POLS 1101,A,,,,,200702,ARTH 1100,A,ECON 2105,A,HIST 2112,A,MATH 1101,A,,,,,On Campus,1,69,4,SCHOOL 27,1,Middle School/Junior High,2,High School,B,Bachelors,15,15,15,15," 11,65,740 "," 11,76,420 "," 10,680 "," 5,87,580 "
7800120,18,F,BGD 1,Y,N,Early Childhood Education,N,,590,590,200608,COMM 1110,A,ENGL 1101,A,ITDS 2749,A,MATH 1113,A,,,,,200702,ENGL 1102,A,HIST 2111,A,MATH 1125,A,MUSC 1100,A,,,,,Off Campus,1,0,3.6,SCHOOL 130,3,College/Beyond,3,College/Beyond,B,Bachelors,14,14,17,17," 15,180 "," 15,04,980 "," 14,89,800 "," -2,83,980 "
7911769,18,F,BGD 1,Y,N,Psychology,N,,1130,1150,200608,COMM 1110,A,ENGL 1101,A,HIST 2112,A,PSYC 1101,A,,,,,200702,ARTH 1100,A,ENGL 1102,A,ITDS 2726,A,ITDS 2735,A,POLS 1101,A,,,Off Campus,0,90,3.54,SCHOOL 52,3,College/Beyond,2,High School,B,Bachelors,15,15,15,15," 3,55,200 "," 11,76,420 "," 8,21,220 "," 56,040 "
7812855,17,F,BGD 1,Y,N,English Language/Literature,Theatre Arts,,1350,1340,200608,COMM 1110,A,ENGL 1102,A,THEA 1100,A,POLS 1101,A,,,,,200702,ECON 2106,A,FREN 1002,A,,,,,,,,,Off Campus,1,69,,SCHOOL 98,,No Information,,No Information,B,Bachelors,15,15,12,12, -   , -   , -   , -   
7922706,18,F,BGD 1,Y,N,Joint Enrollment - Accel,N,,1080,1070,200708,COMM 1110,A,ENGL 2111,A,HIST 1112,A,PSYC 1101,A,,,,,200802,ECON 2106,A,SPAN 1001,A,POLS 1101,A,,,,,,,Off Campus,1,90,4,SCHOOL 29,2,High School,,No Information,B,Bachelors,16,16,13,13, -   ," 1,99,440 "," 5,19,840 "," -2,00,640 "
7936910,18,F,BGD 1,Y,N,Accounting,N,,1080,1070,200708,COMM 1110,A,ENVS 1105,A,PSYC 1101,A,,,,,,,200802,ECON 2106,A,ENGL 1102,A,HIST 2112,A,,,,,,,Off Campus,1,69,4,SCHOOL 11,2,High School,2,High School,B,Bachelors,12,12,12,12," 12,97,440 "," 12,97,440 ", -   ," 4,38,960 "
7908767,18,F,BGD 1,Y,N,Psychology,N,,,,200708,COMM 1110,A,ENGL 1101,A,PSYC 1101,A,POLS 1101,A,,,,,200802,ENGL 1102,A,HIST 2112,A,MATH 1113,A,,,,,,,Off Campus,1,0,3.46,SCHOOL 130,,No Information,,No Information,B,Bachelors,15,15,16,16, -   ," 3,26,880 ", -   ," -3,26,880 "
8012125,18,F,BGD 1,Y,N,Accounting,N,,1120,1110,200708,COMM 1110,A,ENGL 1101,A,ITDS 2735,A,MATH 1113,A,,,,,200802,ECON 2105,A,ENGL 1102,A,THEA 1100,A,POLS 1101,A,,,,,Off Campus,1,0,3.93,SCHOOL 70,4,Other/Unknown,2,High School,B,Bachelors,12,12,15,15," 12,85,860 "," 12,85,860 ", -   ," 6,55,380 "
7920043,18,F,BGD 6,Y,N,Biology,N,,1060,1070,200808,COMM 1110,A,ENGL 1101,A,HIST 2112,A,POLS 1101,A,,,,,200902,MATH 1111,A,POLS 2401,A,,,,,,,,,Off Campus,1,69,3.93,SCHOOL 130,1,Middle School/Junior High,1,Middle School/Junior High,B,Bachelors,12,12,15,15," 12,55,740 "," 12,55,740 ", -   ," 6,24,300 "
8021841,18,F,BGD 1,Y,N,Criminal Justice,N,,,,200908,COMM 1110,A,HIST 1111,A,MATH 1101,A,,,,,,,201002,ENGL 1102,A,HIST 2112,A,MATH 1113,A,PSYC 1101,A,,,,,On Campus,1,,3.67,SCHOOL 20,2,High School,3,College/Beyond,B,Bachelors,15,15,15,13," 12,99,360 "," 14,18,100 "," 1,18,740 "," 2,37,480 "
7913009,18,F,BGD 1,Y,N,Theatre Arts,N,,1250,1260,200908,COMM 1110,A,HIST 2111,A,,,,,,,,,201002,BIOL 1215K,A,POLS 1101,A,,,,,,,,,On Campus,1,150,2.9,SCHOOL 184,3,College/Beyond,2,High School,B,Bachelors,13,13,12,12," 8,06,760 "," 14,18,100 "," 6,11,340 "," 2,22,300 "
8036557,18,F,BGD 1,Y,N,Psychology,N,,510,530,200908,COMM 1110,A,ENGL 1101,A,ITDS 2749,A,MATH 1101,A,PSYC 1101,A,,,201002,BIOL 1215K,A,STAT 1127,A,POLS 1101,A,,,,,,,On Campus,1,150,3.63,SCHOOL 453,2,High School,3,College/Beyond,B,Bachelors,15,15,16,16," 13,60,620 "," 14,18,100 "," 57,480 "," 1,24,200 "
7918673,18,F,BGD 1,Y,N,History and Secondary Ed,N,,1330,1340,200908,COMM 1110,A,FREN 1002,A,HIST 1112,A,ITDS 2749,A,SOCI 1101,A,,,201002,GEOG 1101I,A,FREN 2001,A,HIST 2112,A,,,,,,,On Campus,1,90,4,SCHOOL 72,,No Information,,No Information,B,Bachelors,13,13,18,18, -   , -   , -   , -   
7889645,18,F,BGD 1,Y,N,Early Childhood Education,N,26,,1190,201008,COMM 1110,A,HIST 2111,A,ITDS 2749,A,SOCI 1101,A,,,,,201102,ENGL 1102,A,ITDS 2735,A,MATH 1101,A,POLS 1101,A,,,,,Off Campus,0,69,3.8,SCHOOL 5,3,College/Beyond,2,High School,B,Bachelors,14,10,12,12, -   , -   , -   , -   
7853296,18,M,BGD 1,Y,N,Undeclared,N,,1200,1190,201008,COMM 1110,A,ENGL 1101,A,MATH 1111,A,,,,,,,201102,CHEM 1151,A,CHEM 1151L,A,ENGL 1102,A,HIST 2111,A,MUSC 1100,A,PSYC 1101,A,Off Campus,1,0,4,SCHOOL 130,,No Information,,No Information,B,Bachelors,14,14,16,16, -   ," 1,50,540 ", -   ," -1,39,140 "
7982184,18,F,BGD 1,N,N,Undeclared,N,26,,1190,201008,COMM 1110,A,HIST 2112,A,PSYC 1101,A,,,,,,,201102,BIOL 1215K,A,ENGL 1101,A,POLS 1101,A,,,,,,,Off Campus,1,69,3.75,SCHOOL 7,3,College/Beyond,2,High School,B,Bachelors,13,9,12,12, -   , -   , -   , -   
7832824,18,M,BGD 1,Y,N,Mathematics,N,,1170,1190,200908,COMM 1110H,A,ENGL 1101,A,ITDS 2726H,A,MATH 2115,A,,,,,201002,ENGL 1102,A,MATH 1132,A,POLS 1101,A,,,,,,,Off Campus,1,69,3.75,SCHOOL 130,2,High School,2,High School,B,Bachelors,13,13,16,16, -   , -   , -   , -   
7804470,18,M,BGD 1,Y,N,History,N,31,1230,1380,200908,COMM 1110H,A,ENGL 1101,A,ITDS 2726H,A,MUSC 1100,A,POLS 1101H,A,,,201002,ANTH 1107,A,MATH 1125,A,SPAN 1001,A,,,,,,,Off Campus,1,69,4,SCHOOL 130,3,College/Beyond,3,College/Beyond,B,Bachelors,16,16,14,14, -   , -   , -   , -   
7767164,17,F,BGD 1,Y,N,Pre-Nursing,N,25,1200,1150,201008,CPSC 1105,A,CHEM 1151,A,CHEM 1151L,A,PSYC 1101,A,,,,,201102,ENGL 1102,A,MATH 1101,A,SOCI 1101,A,,,,,,,Off Campus,1,69,4,SCHOOL 25,4,Other/Unknown,2,High School,B,Bachelors,12,12,13,13, -   , -   , -   , -   
7811151,18,F,BGD 1,Y,N,Undeclared,N,,,,201008,CPSC 1105,A,BIOL 1215K,A,HIST 2112,A,PSYC 1101,A,THEA 1100,A,,,201102,ENGL 1102,A,GEOG 1101I,A,ITDS 1145,A,MATH 1111,A,,,,,Off Campus,1,0,3.9,SCHOOL 2,4,Other/Unknown,3,College/Beyond,B,Bachelors,16,16,14,14, -   , -   , -   , -   
